base_channels,batch_size,conv_layers,dropout,kernel_size,learning_rate,max_epochs,number,rhythm_hidden,state,value,weight_decay
16,64,2,0.1,11,0.0008160151001147472,15,58,64,TrialState.COMPLETE,0.9275970672725087,1e-05
32,64,2,0.1,11,0.0008091348574767417,15,59,64,TrialState.PRUNED,0.8864934958493711,1e-05
16,256,2,0.1,11,0.0005096932491089887,14,60,64,TrialState.PRUNED,0.8612879789354005,1e-05
16,64,2,0.1,11,0.0010954366009558831,15,61,64,TrialState.PRUNED,0.887491894267081,1e-05
16,64,2,0.1,11,0.0008741962700635179,16,62,64,TrialState.PRUNED,0.8980974073603637,1e-05
16,64,2,0.1,11,0.0013259629345079647,15,63,64,TrialState.PRUNED,0.9009305627439435,1e-05
16,64,2,0.15000000000000002,11,0.0006389649298169943,13,64,64,TrialState.PRUNED,0.8847138591031118,1e-05
16,64,2,0.1,11,0.001366267221893487,16,65,64,TrialState.PRUNED,0.8968360891199012,1e-05
16,64,2,0.1,11,0.00106295807609892,14,66,64,TrialState.COMPLETE,0.9261182855909669,1e-05
8,64,2,0.15000000000000002,11,0.0007492790226080125,14,67,64,TrialState.PRUNED,0.8828172280384867,1e-05
32,128,2,0.1,11,0.0010478923739182281,13,68,64,TrialState.COMPLETE,0.9230750575953334,1e-05
16,64,4,0.1,11,0.002668729086556032,15,69,64,TrialState.PRUNED,0.9071885555023448,1e-05
16,64,2,0.15000000000000002,11,0.0008219058036628453,12,70,16,TrialState.PRUNED,0.8011965619347452,0.001
32,128,2,0.1,11,0.0010286489160764817,13,71,64,TrialState.PRUNED,0.9062986180175928,1e-05
32,128,2,0.1,11,0.0011188660011745254,14,72,64,TrialState.COMPLETE,0.9306469208709964,1e-05
32,128,2,0.1,11,0.0014250725835807517,14,73,64,TrialState.PRUNED,0.8949649093261811,1e-05
32,128,2,0.1,11,0.0009392667089641682,17,74,64,TrialState.PRUNED,0.8971595512093498,1e-05
